asin,brand,product_title,price,image
B0000SX2UC,,Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen,0.0,https://m.media-amazon.com/images/I/2143EBQ210L._AC_UY218_ML3_.jpg
B0009N5L7K,Motorola,Motorola I265 phone,49.95,https://m.media-amazon.com/images/I/419WBAVDARL._AC_UY218_ML3_.jpg
B000SKTZ0S,Motorola,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,99.99,https://m.media-amazon.com/images/I/71b+q3ydkIS._AC_UY218_ML3_.jpg
B001AO4OUC,Motorola,Motorola i335 Cell Phone Boost Mobile,0.0,https://m.media-amazon.com/images/I/710UO8gdT+L._AC_UY218_ML3_.jpg
B001DCJAJG,Motorola,Motorola V365 no contract cellular phone AT&T,149.99,https://m.media-amazon.com/images/I/61LYNCVrrKL._AC_UY218_ML3_.jpg
B001GQ3DJM,Nokia,Nokia 1680 Black Phone (T-Mobile),0.0,https://m.media-amazon.com/images/I/41X4VeqkFOL._AC_UY218_ML3_.jpg
B0029F2O3A,Samsung,"Samsung Alias2 U750 Phone, Black (Verizon Wireless)",0.0,https://m.media-amazon.com/images/I/41HWHpfPlML._AC_UY218_ML3_.jpg
B002AS9WEA,Samsung,Samsung a167 Prepaid GoPhone (AT&T),0.0,https://m.media-amazon.com/images/I/61OXcZ-oefL._AC_UY218_ML3_.jpg
B002UHS0UI,Motorola,Verizon Wireless Motorola RAZR V3m - Silver,0.0,https://m.media-amazon.com/images/I/61pVtPaTkML._AC_UY218_ML3_.jpg
B002WTC1NG,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),139.99,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg
B0033SFV5A,Samsung,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,64.99,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg
B003FCO9XE,Samsung,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,99.99,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg
